otu	phylum
OTU438	Actinobacteria
OTU439	Actinobacteria
OTU440	Firmicutes
OTU441	Proteobacteria
OTU442	Actinobacteria
OTU443	Chloroflexi
OTU444	Gemmatimonadetes
OTU445	Actinobacteria
OTU446	Acidobacteria
OTU447	Acidobacteria
OTU448	Proteobacteria
OTU449	Proteobacteria
OTU450	Saccharibacteria
OTU451	Acidobacteria
OTU452	Actinobacteria
OTU453	Proteobacteria
OTU454	Proteobacteria
OTU455	Chloroflexi
OTU456	Actinobacteria
OTU457	Actinobacteria
OTU458	Actinobacteria
OTU459	Proteobacteria
OTU460	Acidobacteria
OTU461	
OTU462	Proteobacteria
OTU463	Acidobacteria
OTU464	Proteobacteria
OTU465	Firmicutes
OTU466	Proteobacteria
OTU467	Actinobacteria
OTU468	Acidobacteria
OTU469	Proteobacteria
OTU470	Thaumarchaeota
OTU471	Proteobacteria
OTU472	Acidobacteria
OTU473	Actinobacteria
OTU474	Proteobacteria
OTU475	Actinobacteria
OTU476	Actinobacteria
OTU477	Actinobacteria
OTU478	Acidobacteria
OTU479	Actinobacteria
OTU480	Gemmatimonadetes
OTU481	Proteobacteria
OTU482	Actinobacteria
OTU483	Proteobacteria
OTU484	Actinobacteria
OTU485	Proteobacteria
OTU486	Proteobacteria
OTU487	Chloroflexi
OTU488	Planctomycetes
OTU489	Acidobacteria
OTU490	Actinobacteria
OTU491	Gemmatimonadetes
OTU492	Proteobacteria
OTU493	Acidobacteria
OTU494	Acidobacteria
OTU495	Actinobacteria
OTU496	Actinobacteria
OTU497	Actinobacteria
OTU498	Proteobacteria
OTU499	Bacteroidetes
OTU500	Actinobacteria
OTU501	Acidobacteria
OTU502	Actinobacteria
OTU503	Acidobacteria
OTU504	Deinococcus-Thermus
OTU505	Proteobacteria
OTU506	Actinobacteria
OTU507	Proteobacteria
OTU508	Proteobacteria
OTU509	Chloroflexi
OTU510	Gemmatimonadetes
OTU511	Gemmatimonadetes
OTU512	Bacteroidetes
OTU513	Thaumarchaeota
OTU514	Proteobacteria
OTU515	
OTU516	Proteobacteria
OTU517	Chloroflexi
OTU518	Chloroflexi
OTU519	Acidobacteria
OTU520	Verrucomicrobia
OTU521	Gemmatimonadetes
OTU522	Acidobacteria
OTU523	Chloroflexi
OTU524	Proteobacteria
OTU525	Actinobacteria
OTU526	Actinobacteria
OTU527	Proteobacteria
OTU528	Chloroflexi
OTU529	Actinobacteria
OTU530	Acidobacteria
OTU531	Proteobacteria
OTU532	Chloroflexi
OTU533	Proteobacteria
OTU534	Chloroflexi
OTU535	Proteobacteria
OTU536	Verrucomicrobia
OTU537	Actinobacteria
OTU538	Proteobacteria
OTU539	Chloroflexi
OTU540	Proteobacteria
OTU541	Actinobacteria
OTU542	Actinobacteria
OTU543	Actinobacteria
OTU544	Actinobacteria
OTU545	Actinobacteria
OTU546	Proteobacteria
OTU547	Actinobacteria
OTU548	Chloroflexi
OTU549	Proteobacteria
OTU550	Bacteroidetes
OTU551	Firmicutes
OTU552	Proteobacteria
OTU553	Chloroflexi
OTU554	Chloroflexi
OTU555	Proteobacteria
OTU556	Actinobacteria
OTU557	Actinobacteria
OTU558	Actinobacteria
OTU559	Gemmatimonadetes
OTU560	Chloroflexi
OTU561	Chloroflexi
OTU562	Proteobacteria
OTU563	Bacteroidetes
OTU564	Chloroflexi
OTU565	Acidobacteria
OTU566	Gemmatimonadetes
OTU567	Proteobacteria
OTU568	Proteobacteria
OTU569	Actinobacteria
OTU570	Chloroflexi
OTU571	Proteobacteria
OTU572	Proteobacteria
OTU573	Gemmatimonadetes
OTU574	Proteobacteria
OTU575	Actinobacteria
OTU576	Actinobacteria
OTU577	Acidobacteria
OTU578	Acidobacteria
OTU579	Bacteroidetes
OTU580	Chloroflexi
OTU581	Actinobacteria
OTU582	Proteobacteria
OTU583	Actinobacteria
OTU584	Actinobacteria
OTU585	Proteobacteria
OTU586	Actinobacteria
OTU587	Chloroflexi
OTU588	Actinobacteria
OTU589	Actinobacteria
OTU590	Actinobacteria
OTU591	Proteobacteria
OTU592	Armatimonadetes
OTU593	Chloroflexi
OTU594	Chloroflexi
OTU595	Proteobacteria
OTU596	Chloroflexi
OTU597	Acidobacteria
OTU598	Gemmatimonadetes
OTU599	Proteobacteria
OTU600	Actinobacteria
OTU601	Actinobacteria
OTU602	Acidobacteria
OTU603	Firmicutes
OTU604	Chloroflexi
OTU605	Actinobacteria
OTU606	Proteobacteria
OTU607	Actinobacteria
OTU608	Gemmatimonadetes
OTU609	Planctomycetes
OTU610	Proteobacteria
OTU611	Actinobacteria
OTU612	Proteobacteria
OTU613	Chloroflexi
OTU614	Chloroflexi
OTU615	Nitrospirae
OTU616	Proteobacteria
OTU617	Actinobacteria
OTU618	Armatimonadetes
OTU619	Actinobacteria
OTU620	Chloroflexi
OTU621	Planctomycetes
OTU622	Acidobacteria
OTU623	Gemmatimonadetes
OTU624	Actinobacteria
OTU625	Proteobacteria
OTU626	Actinobacteria
OTU627	Actinobacteria
OTU628	Proteobacteria
OTU629	Proteobacteria
OTU630	Proteobacteria
OTU631	Actinobacteria
OTU632	Acidobacteria
